Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Sidewalk Dimensions (Area),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,Landmark District or Building,landmarkDistrict_terms,Latitude,Longitude,NTA
roadway,HERE ARTS CENTER,"HOME FOR CONTEMPORARY THEATRE AND ART, LTD",HERE ARTS CENTER,undefined,145 AVENUE OF THE AMERICAS,Manhattan,10013,"145 AVENUE OF THE AMERICAS, Manhattan, NY",,240,no,yes,yes,no,,40.724971,-74.004477,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,HUNGRY GHOST,HUNGRY GHOST BLEECKER LLC,HUNGRY GHOST,undefined,315 BLEECKER STREET,Manhattan,10014,"315 BLEECKER STREET, Manhattan, NY",200,,yes,no,no,yes,yes,40.732829,-74.003911,West Village
both,Prince Laban&Chinese restaurent,Renessa inc.,Prince Kababish & Chinese restaurant,3756,74 street,Queens,11372,"3756 74 street, Queens, NY",144,144,yes,yes,no,no,,40.74763,-73.891596,Jackson Heights
sidewalk,Philly Pretzel Factory,Snacking Made Easy LLC,Philly Pretzel Factory,131,5th Ave,Brooklyn,11217,"131 5th Ave, Brooklyn, NY",6500,,yes,no,no,no,,40.678651,-73.978934,Park Slope-Gowanus
roadway,About Coffee,ABOUT COFFEE LLC,ABOUT COFFEE,71,SULLIVAN STREET,Manhattan,10012,"71 SULLIVAN STREET, Manhattan, NY",,50,no,yes,no,no,,40.724625,-74.003889,SoHo-TriBeCa-Civic Center-Little Italy
both,BICKLES TO GO,BICKLES 2 GO INC,BICKLES 2 GO,726,COURTLANDT AVE,Bronx,10451,"726 COURTLANDT AVE, Bronx, NY",100,160,yes,yes,no,no,,40.82075,-73.917653,Melrose South-Mott Haven North
roadway,STARBUCKS,STARBUCKS CORPORATION,STARBUCKS,undefined,1140 BROADWAY,Manhattan,10001,"1140 BROADWAY, Manhattan, NY",,160,no,yes,no,yes,yes,40.743907,-73.988979,Hudson Yards-Chelsea-Flatiron-Union Square
roadway,OVENLY,FLATBUSHLY LLC,OVENLY,undefined,210 FLATBUSH AVENUE,Brooklyn,11217,"210 FLATBUSH AVENUE, Brooklyn, NY",,168,no,yes,no,no,,40.681264,-73.975436,Park Slope-Gowanus
sidewalk,LE PAIN QUOTIDIEN,APQ GRAND CENTRAL WEST NY LLC,LE PAIN QUOTIDIEN,undefined,16 EAST   44 STREET,Manhattan,10017,"16 EAST   44 STREET, Manhattan, NY",105,,yes,no,no,no,,40.754434,-73.979138,Midtown-Midtown South
both,Le Pain Quotidien GCW,"APQ Grand Central West NY, LLC",Le Pain Quotidien,16,East 44th St.,Manhattan,10017,"16 East 44th St., Manhattan, NY",90,240,yes,yes,no,no,,40.754434,-73.979138,Midtown-Midtown South
